HOME_AREA,WORK_AREA,PERCENT_TRAVELLERS  (Avg),HOME_LONGITUDE,HOME_LATITUDE,WORK_LONGITUDE,WORK_LATITUDE,TRAVELING_DISTANCE_KM,DIRECT_DISTANCE_KM
ADIALA,BAHRIA1_6_PWD,0.005049666666666667,73.05209675000002,33.54623619,73.13773117,33.56252679,17.111,8.139488363434744
ADIALA,BAHRIA8,0.010171,73.05209675000002,33.54623619,73.085473,33.495714,10.594,6.413485200466126
ADIALA,BHARAKAHU_BANIGALA,0.00119025,73.05209675,33.54623619,73.18177033,33.73680847,30.69,24.354540245327673
ADIALA,CHAKLALA,0.009161166666666666,73.05209675000002,33.54623619,73.07507165,33.60093813,9.0,6.444246065302686
ADIALA,DHA1_BAHRIA7,0.005626666666666666,73.05209675000002,33.54623619,73.10114689,33.54223911,7.596000000000001,4.567469415536965
ADIALA,DHA2_ZARAJ,0.005121666666666668,73.05209675000002,33.54623619,73.15604531999999,33.53117099,15.944999999999999,9.778755184601556
ADIALA,DHAMIAL_CHAKRI_ROAD,0.0248146666666667,73.05209675000002,33.54623619,73.01000235,33.56066811,9.089,4.217943310799048
ADIALA,DHOKE_HASSU,0.0023803333333333333,73.05209675000002,33.54623619,73.03386451,33.626641150000005,12.953000000000001,9.098738634555353
ADIALA,F10_F11_E11_D12,0.0012985,73.05209675000002,33.54623619,72.99067119,33.692262809999995,26.476,17.204776287209935
ADIALA,F6_F7_E7,0.0018178,73.05209675,33.54623619,73.06117237,33.72367762,30.506,19.74846856416389
ADIALA,F8_E8_F9_E9,0.0010386,73.05209675,33.54623619,73.03277168,33.7134014,29.835,18.673835573175253
ADIALA,FAIZABAD_STADIUM_ROAD,0.0010821666666666668,73.05209675000002,33.54623619,73.07357536,33.65196382,15.730000000000002,11.923492684973347
ADIALA,G10_G11_G12,0.0010099999999999998,73.05209675000002,33.54623619,73.00632507,33.67167071,23.857,14.577553347171298
ADIALA,G13_G14_GOLRA,0.000779,73.05209675,33.54623619,72.95087122,33.64752556,19.727,14.654424026048666
ADIALA,G5_F5_DIPLOMATIC_SECRETARIAT,0.0015148333333333333,73.05209675000002,33.54623619,73.09936917,33.72629888,25.114,20.49476428422944
ADIALA,G6_G7_BLUE_AREA,0.004183833333333333,73.05209675000002,33.54623619,73.07453242999999,33.71343576,28.497000000000003,18.707423249798822
ADIALA,G8_G9,0.00202,73.05209675000002,33.54623619,73.04003006,33.69034756,20.782,16.063360343562252
ADIALA,GHAURI_BURMA_TOWN_KHANNA,0.0020916666666666666,73.05209675000002,33.54623619,73.13042452,33.62744881999999,19.437,11.58411986339183
ADIALA,H10_H11_H12,0.0011254,73.05209675,33.54623619,72.9999366,33.6462776,21.708,12.127865148941655
ADIALA,H13_I14_JHANGI_SYEDAN,0.0012986666666666667,73.05209675000002,33.54623619,72.95902271,33.62512322,16.529,12.299498806959932
ADIALA,H9_I9,0.0016446,73.05209675,33.54623619,73.05200625,33.662345,18.874,12.910713331252648
ADIALA,I10_I11,0.0017311666666666667,73.05209675000002,33.54623619,73.03527323000002,33.64604400000001,18.943,11.206976521446325
ADIALA,I8_H8_SHAKARPARIAN,0.0019044,73.05209675,33.54623619,73.07717667,33.68034167,27.762999999999998,15.091621930380551
ADIALA,KHANNA_KORAL,0.0010387999999999999,73.05209675,33.54623619,73.1067525,33.62449535,17.48,10.06767198136267
ADIALA,KOHINOOR_MILL_PIRWADHAI,0.0015146666666666665,73.05209675000002,33.54623619,72.98985375,33.61071461,13.325999999999999,9.200705017404003
ADIALA,LALKURTI_TENCH_DHOKSYEDAN,0.03347083333333333,73.05209675000002,33.54623619,73.04073332,33.579432849999996,6.906,3.838526596245929
ADIALA,LIAQUATBAGH_RAJABAZAR,0.015509166666666666,73.05209675000002,33.54623619,73.05613158,33.61586581,9.891,7.751477386169941
ADIALA,MORGAH_ASKARI14,0.049268,73.05209675000002,33.54623619,73.07338379,33.54724362000001,5.264,1.975928336565872
ADIALA,NAVAL_GULBERG,0.0011545000000000004,73.05209675000002,33.54623619,73.17832789,33.57863522,20.355,12.238449400094154
ADIALA,OLD_AIRPORT,0.0021641666666666662,73.05209675000002,33.54623619,73.11899808,33.59809288,11.618,8.4656025472293
ADIALA,QASIM_MARKET_RANGE_ROAD,0.004472333333333333,73.05209675000002,33.54623619,73.01657994,33.59000294999999,9.787,5.874747502364501
ADIALA,RAWAL_ROAD,0.004688833333333333,73.05209675000002,33.54623619,73.07381199999999,33.618767170000005,11.505,8.31216002179141
ADIALA,SADDAR,0.01853866666666667,73.05209675000002,33.54623619,73.05574406,33.59627289,7.143999999999999,5.5740791935869165
ADIALA,SATELLITE_TOWN,0.004977333333333333,73.05209675000002,33.54623619,73.06257614000002,33.63989311,14.278,10.459310496352504
ADIALA,SCHEME3_GULISTAN_COLONY,0.0067086666666666675,73.05209675000002,33.54623619,73.09887207999999,33.577184069999994,9.527,5.5341271778238985
ADIALA,SHAKRIAL_SADIQABAD,0.0031015,73.05209675000002,33.54623619,73.08968728,33.63784415999999,13.782,10.764974702398801
ADIALA,SHAMSABAD_DHOK_KALA,0.0007213333333333334,73.05209675,33.54623619,73.09153509,33.65017158,19.566,12.120587921456822
ADIALA,SOHAN_CHAK_SHAHZAD,0.0006062000000000001,73.05209675,33.54623619,73.13181945,33.67048536,24.762,15.664803904143392
ADIALA,TARAMRI_ALIPUR_FARASHTOWN,0.0005773333333333333,73.05209675,33.54623619,73.195033,33.64359527,25.030999999999995,17.10178641419539
