Stop Name,latitude,longitude
Faizabad Stop,33.66237682480014,73.08290510669472
Margalla Town,33.674249529647284,73.09417460247559
Masjid,33.68230393283204,73.10311331213792
Rawal Town,33.688445954623056,73.10923826622859
Golf club,33.70426267654426,73.10741385100776
Kashmir Chowk,33.70795835121151,73.10551012088737
Lake View,33.7230325430208,73.13540905728654
Malpur stop,33.729706979350134,73.14462527147433
Shahdara stop,33.73479749277476,73.15925449133833
Jillani stop,33.73547864692062,73.16535427977271
Athal Chowk,33.74000776022828,73.17971660585458
Guggi stop,33.74278337770321,73.18463002413604
