Stop Name,latitude,longitude
Karachi company,33.690375,73.030679
Chaman,33.690724,73.043995
Peshawar mor,33.690692,73.044085
Numl,33.670544,73.057167
I/9 Police Station,33.661453,73.064284
Wilson,33.659003,73.059781
I/9 chowk,33.656681,73.055509
I/9 market,33.656679,73.055507
Sui Gas Office,33.655579,73.05311
6 no stop,33.655579,73.05311
Makkah plaza,33.649927,73.041731
I/10 markaz,33.649293,73.040082
Mandi mor,33.642602,73.031392
