Stop Name,latitude,longitude
Tramari stop West,33.64479987146734,73.16356895283855
University stop West,33.65215929738469,73.15891122165253
Hostel city stop West,33.65710943533605,73.15355559496308
Chatta bakhtawar stop West,33.664582159129324,73.15212417310426
Chak Shehzad Farms West,33.67113074441438,73.1465316556316
Bahria enclave stop West,33.67417942053658,73.1440355129715
Shehzad town stop West,33.676369794082255,73.14213087723769
NARC stop West,33.67916813434267, 73.13978982769872
NIH stop West,33.685231666058016,73.13471538289241
Banigalla stop West,33.687300468625345,73.13122610002131
Rawal colony stop West,33.688699985162145, 73.11652719212367
Rawal dam choWk,33.68893095448561, 73.11285486503094
Golf club West,33.70426267654426,73.10741385100776
Kashmir chowk,33.70795835121151,73.10551012088737
Serena chowk,33.71386965804977,73.10182169027591
Embassy road stop,33.7124707412253,73.09904143201597
Abpara stop,33.708142849890365,73.09078208645816
